Request ID,Created At,Email,Core Identifier,Request Type,Data Subject Type,Status,Country,Country Sub Division,Details,Origin,Silent Mode,Is Test Request,Language,Purpose Trigger Name,Purpose Trigger Value,link,daysRemaining,Topics,Source,Method,Frequency,Go 100% Digital,Owned Products,AI Features Usage,AI Training
ae69ff2a-f679-424e-be6e-1b4a6861e331,2025-02-25T19:08:08.626Z,mike+test@transcend.io,mike+test@transcend.io,ACCESS,customer,FAILED_VERIFICATION,EU,,,ADMIN_DASHBOARD,false,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/ae69ff2a-f679-424e-be6e-1b4a6861e331,,,,,,,,,
91900be4-aafe-4541-b830-ebd4e38edd8a,2025-02-28T17:39:36.473Z,sneha.t410@gmail.com,sneha.t410@gmail.com,CONTACT_OPT_IN,customer,COMPLETED,,,"Submitted as a side effect of the ""Consent Workflows"" configured for the organization",API,true,false,en,Newsletters,true,https://app.transcend.io/privacy-requests/incoming-requests/91900be4-aafe-4541-b830-ebd4e38edd8a,30,MarketingEmails;ProductGuidance;ProductInsider;ProductUsage,Customer.io,,,,,,
b9007bf2-e4ec-4f44-bace-ed1f9ebe43a7,2025-03-03T20:35:58.337Z,nick.allen@transcend.io,nick.allen@transcend.io,ACCESS,customer,CANCELED,US,US-CA,,PRIVACY_CENTER,false,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/b9007bf2-e4ec-4f44-bace-ed1f9ebe43a7,,,,,,,,,
0f90bdba-37a4-4873-9c5c-c137c5e8275b,2025-03-06T15:04:53.146Z,mason@transcend.io,mason@transcend.io,CONTACT_OPT_OUT,customer,CANCELED,,,,PRIVACY_CENTER,true,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/0f90bdba-37a4-4873-9c5c-c137c5e8275b,,,,,,,,,
aa83ea4e-d603-4481-be85-5987f41cb43e,2025-03-09T08:13:31.213Z,test+access@transcend.io,test+access@transcend.io,ACCESS,customer,COMPLETED,EU,,,ADMIN_DASHBOARD,true,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/aa83ea4e-d603-4481-be85-5987f41cb43e,-56,,,,,,,,
2968265d-16f0-4063-819e-54d7e5022cd2,2025-03-10T19:21:37.713Z,nick@transcend.io,nick@transcend.io,CONTACT_OPT_IN,customer,COMPLETED,,,,PRIVACY_CENTER,false,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/2968265d-16f0-4063-819e-54d7e5022cd2,20,,,,,,,,
08fede08-92fb-4c21-9491-90713a7733e8,2025-03-10T19:44:09.887Z,allison@transcend.io,allison@transcend.io,ACCESS,candidate,CANCELED,US,US-CA,Here is an example of an internal note added to an individual DSR,PRIVACY_CENTER,false,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/08fede08-92fb-4c21-9491-90713a7733e8,,,,,,,,,
78d131a2-b012-4e8a-aed7-3a9392ae296b,2025-03-16T21:44:24.187Z,jane@example.com,jane@example.com,ACCESS,customer,CANCELED,EU,,,ADMIN_DASHBOARD,true,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/78d131a2-b012-4e8a-aed7-3a9392ae296b,,,,,,,,,
d0afa32d-0b30-41b9-959e-8db17139d54f,2025-03-18T15:54:56.516Z,mason@transcend.io,mason@transcend.io,RECTIFICATION,authority,CANCELED,EU,,"Email:
",ADMIN_DASHBOARD,true,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/d0afa32d-0b30-41b9-959e-8db17139d54f,,,,,,,,,
d80d8c03-c2ac-42c4-9b8b-56a3c9c70b26,2025-03-19T13:23:19.945Z,nick.allen@transcend.io,nick.allen@transcend.io,ACCESS,customer,REVOKED,US,US-CA,,PRIVACY_CENTER,false,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/d80d8c03-c2ac-42c4-9b8b-56a3c9c70b26,,,,,,,,,
791c74d5-fd3a-4035-a98b-7f614ba62f9f,2025-03-19T19:21:05.688Z,nick.allen@transcend.io,nick.allen@transcend.io,ACCESS,customer,FAILED_VERIFICATION,US,US-CA,,PRIVACY_CENTER,false,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/791c74d5-fd3a-4035-a98b-7f614ba62f9f,,,,,,,,,
09b39a26-f85b-47da-9141-3af41e574b8c,2025-03-21T15:16:35.122Z,jess@transcend.io,jess@transcend.io,ERASURE,customer,CANCELED,,,,PRIVACY_CENTER,false,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/09b39a26-f85b-47da-9141-3af41e574b8c,,,,,,,,,
b12c7fe8-f149-4a5a-8a74-3258d6202b7c,2025-03-21T15:21:48.416Z,nick@transcend.io,nick@transcend.io,CONTACT_OPT_OUT,customer,CANCELED,,,,PRIVACY_CENTER,true,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/b12c7fe8-f149-4a5a-8a74-3258d6202b7c,,,,,,,,,
88ffe571-9cdb-4d2e-8f2d-078c59640d9a,2025-03-21T17:23:57.421Z,test+access@transcend.io,test+access@transcend.io,CONTACT_OPT_OUT,customer,COMPLETED,,,,ADMIN_DASHBOARD,true,true,en,,,https://app.transcend.io/privacy-requests/incoming-requests/88ffe571-9cdb-4d2e-8f2d-078c59640d9a,30,,,,,,,,
fc887779-77e8-4d66-a575-63b5fa75300e,2025-03-21T17:38:48.546Z,ashley@transcend.io,ashley@transcend.io,CONTACT_OPT_OUT,customer,CANCELED,,,,ADMIN_DASHBOARD,true,true,en,,,https://app.transcend.io/privacy-requests/incoming-requests/fc887779-77e8-4d66-a575-63b5fa75300e,,,,,,,,,
710765ca-72a3-4c93-975d-e98fab3c21ad,2025-03-21T17:42:43.699Z,pam@transcend.io,pam@transcend.io,CONTACT_OPT_OUT,customer,COMPLETED,,,,ADMIN_DASHBOARD,true,true,en,,,https://app.transcend.io/privacy-requests/incoming-requests/710765ca-72a3-4c93-975d-e98fab3c21ad,30,,,,,,,,
d492f732-1ed6-4632-971f-fbbaf7d8bf57,2025-03-21T17:56:00.741Z,jess@transcend.io,jess@transcend.io,CONTACT_OPT_OUT,customer,COMPLETED,,,,PRIVACY_CENTER,false,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/d492f732-1ed6-4632-971f-fbbaf7d8bf57,27,,,,,,,,
d58e6ec6-1ed9-442d-99c1-70e28b0592cf,2025-03-24T16:30:28.431Z,jess@transcend.io,jess@transcend.io,ACCESS,customer,COMPLETED,US,US-CA,,PRIVACY_CENTER,false,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/d58e6ec6-1ed9-442d-99c1-70e28b0592cf,45,,,,,,,,
125ed1a8-8a1e-4619-85c3-26140bd51357,2025-03-24T20:36:23.477Z,ashley@transcend.io,ashley@transcend.io,ACCESS,customer,COMPLETED,US,,,ADMIN_DASHBOARD,true,true,en,,,https://app.transcend.io/privacy-requests/incoming-requests/125ed1a8-8a1e-4619-85c3-26140bd51357,30,,,,,,,,
5e2bb113-3db3-4458-b326-d45aa85cdad0,2025-03-24T20:40:15.188Z,ashley@transcend.io,ashley@transcend.io,CONTACT_OPT_OUT,customer,COMPLETED,,,,ADMIN_DASHBOARD,true,true,en,,,https://app.transcend.io/privacy-requests/incoming-requests/5e2bb113-3db3-4458-b326-d45aa85cdad0,29,,,,,,,,
b1d01449-d38e-4d49-9eea-3c781d8e5881,2025-03-25T14:59:13.162Z,nick.allen@transcend.io,nick.allen@transcend.io,ACCESS,customer,REVOKED,US,US-CA,,PRIVACY_CENTER,false,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/b1d01449-d38e-4d49-9eea-3c781d8e5881,,,,,,,,,
b0abbad5-b207-47cd-9d5d-a81ad8d115cc,2025-03-25T19:01:46.766Z,bchen@transcend.io,bchen@transcend.io,ACCESS,employee,CANCELED,US,US-CA,,PRIVACY_CENTER,true,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/b0abbad5-b207-47cd-9d5d-a81ad8d115cc,,,,,,,,,
9cccd7b1-5b22-4b62-a85c-42c39b6a59ee,2025-03-25T19:29:13.933Z,mason+hale@transcend.io,mason+hale@transcend.io,ACCESS,customer,COMPLETED,EU,,,ADMIN_DASHBOARD,true,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/9cccd7b1-5b22-4b62-a85c-42c39b6a59ee,-42,,,,,,,,
620d556f-1e77-41e4-a1a3-07514e4f73bf,2025-03-25T21:27:15.705Z,ashley@transcend.io,ashley@transcend.io,CONTACT_OPT_OUT,customer,COMPLETED,,,,ADMIN_DASHBOARD,true,true,en,,,https://app.transcend.io/privacy-requests/incoming-requests/620d556f-1e77-41e4-a1a3-07514e4f73bf,30,,,,,,,,
90ab70e7-994a-47f0-8759-6d9aab173026,2025-03-26T17:32:53.419Z,nick.allen@transcend.io,nick.allen@transcend.io,ACCESS,customer,REVOKED,US,US-CA,,PRIVACY_CENTER,false,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/90ab70e7-994a-47f0-8759-6d9aab173026,,,,,,,,,
64c9b53f-1d89-4404-a50d-659802a9fc65,2025-03-26T21:04:35.666Z,ashley@transcend.io,ashley@transcend.io,CONTACT_OPT_OUT,customer,COMPLETED,,,,ADMIN_DASHBOARD,true,true,en,,,https://app.transcend.io/privacy-requests/incoming-requests/64c9b53f-1d89-4404-a50d-659802a9fc65,30,,,,,,,,
4f671aea-dcef-4c56-b812-bf00627807ac,2025-03-26T21:05:17.603Z,abc@transcend.io,abc@transcend.io,CONTACT_OPT_OUT,customer,COMPLETED,,,,ADMIN_DASHBOARD,true,true,en,,,https://app.transcend.io/privacy-requests/incoming-requests/4f671aea-dcef-4c56-b812-bf00627807ac,30,,,,,,,,
b7602861-1f75-4b38-b9d7-7f9f6c4ac9a3,2025-03-26T21:17:01.604Z,ashley@transcend.io,ashley@transcend.io,CONTACT_OPT_OUT,customer,COMPLETED,,,,ADMIN_DASHBOARD,true,true,en,,,https://app.transcend.io/privacy-requests/incoming-requests/b7602861-1f75-4b38-b9d7-7f9f6c4ac9a3,30,,,,,,,,
5ad28975-34c8-4d64-86d4-e1dfaf6aede6,2025-03-26T21:17:37.973Z,abc@transcend.io,abc@transcend.io,CONTACT_OPT_OUT,customer,COMPLETED,,,,ADMIN_DASHBOARD,true,true,en,,,https://app.transcend.io/privacy-requests/incoming-requests/5ad28975-34c8-4d64-86d4-e1dfaf6aede6,30,,,,,,,,
29011814-6bfa-4df9-8658-32fd009d68c6,2025-03-28T18:51:50.673Z,nick.allen@transcend.io,nick.allen@transcend.io,ACCESS,customer,REVOKED,US,US-CA,,PRIVACY_CENTER,false,false,en,,,https://app.transcend.io/privacy-requests/incoming-requests/29011814-6bfa-4df9-8658-32fd009d68c6,,,,,,,,,
9a580e68-f46b-4a45-b044-6659444f8652,2025-03-31T16:24:50.350Z,ashley@transcend.io,ashley@transcend.io,CONTACT_OPT_OUT,customer,COMPLETED,,,,ADMIN_DASHBOARD,true,true,en,,,https://app.transcend.io/privacy-requests/incoming-requests/9a580e68-f46b-4a45-b044-6659444f8652,30,,,,,,,,
